Dataset names,GMMN,RCGAN,TimeGAN,SigCWGAN,TimeVQVAE.mean,TimeVQVAE.std
ACSF1,1.4,1.9,1.5,2,3.3,0.1
Adiac,1.1,1.4,1.6,1.6,6.2,0.3
AllGestureWiimoteX,3.6,3.2,4.3,1.5,2.5,0.2
AllGestureWiimoteY,3.4,3.2,3.1,1.7,3.0,0.1
AllGestureWiimoteZ,2.6,2.3,2.3,1,2.6,0.0
ArrowHead,1.9,1.1,1.1,1,2.5,0.1
Beef,1.2,1.4,1.5,1,2.7,0.2
BeetleFly,1,1.1,1,1,1.7,0.2
BirdChicken,1,1.1,1.1,1,1.8,0.0
BME,1,1.2,1.2,1.1,2.1,0.2
Car,1.7,1,1,1,2.3,0.1
CBF,1,1.1,1.5,1.1,2.7,0.0
Chinatown,1.8,1,1.3,1.6,2.0,0.0
ChlorineConcentration,1.2,2,1.9,1,1.6,0.1
CinCECGTorso,1.5,1.3,1.6,1,1.8,0.2
Coffee,1.1,1,1,1,1.9,0.0
Computers,1.2,1.8,1.4,1.2,1.6,0.1
CricketX,1.8,2,2.3,1.8,3.3,0.3
CricketY,2.3,3,3.6,2,3.6,0.1
CricketZ,3,1.9,2.5,1.9,3.3,0.1
Crop,5.7,7.7,7.8,7.5,17.0,0.1
DiatomSizeReduction,1,1.2,1.3,1,2.8,0.0
DistalPhalanxOutlineAgeGroup,1.5,1.6,1.3,1,1.9,0.1
DistalPhalanxOutlineCorrect,1.2,1.4,1.7,1.8,1.5,0.0
DistalPhalanxTW,1.9,1.9,1.7,2.1,2.5,0.2
DodgerLoopDay,1,1.2,1.2,1.3,2.6,0.2
DodgerLoopGame,1,1.2,1,1.1,1.9,0.0
DodgerLoopWeekend,1.2,1,1.6,1.1,1.9,0.0
Earthquakes,1.2,1,1,1.1,1.1,0.0
ECG200,1.4,1.5,1.4,1.5,1.5,0.0
ECG5000,1.7,1.7,1.6,1.6,2.0,0.0
ECGFiveDays,1.1,1,1.2,1.7,1.7,0.1
ElectricDevices,2.9,3.8,4.4,2.8,4.7,0.1
EOGHorizontalSignal,1.3,2.5,1.3,2,4.7,0.2
EOGVerticalSignal,1.5,1.7,1.7,1.2,3.2,0.1
EthanolLevel,1,1.1,1,2,1.3,0.1
FaceAll,2,2.2,3,1.8,5.3,0.2
FaceFour,1.2,1.3,1.1,1.2,2.7,0.2
FacesUCR,1,1.9,2.1,1.5,3.3,0.3
FiftyWords,2.7,1.9,1.3,1.8,4.6,0.2
Fish,1,1.2,1.2,1,3.1,0.0
FordA,1.5,1.3,1,1,1.5,0.0
FordB,1,1.7,1,1,1.4,0.1
FreezerRegularTrain,1,1,1,1.6,1.4,0.1
FreezerSmallTrain,1.8,2,1.9,1.2,1.9,0.0
Fungi,1,1.1,1.3,1,7.3,0.8
GestureMidAirD1,2.1,2.5,2.6,1.4,3.4,0.5
GestureMidAirD2,1.1,1.1,1.5,1,4.6,0.2
GestureMidAirD3,3.3,2.9,1.7,2.6,2.0,0.1
GesturePebbleZ1,1.2,1.1,2,1.4,2.9,0.5
GesturePebbleZ2,1.3,1.7,1.9,1,2.8,0.2
GunPoint,1.4,1.3,1.6,1,1.9,0.0
GunPointAgeSpan,1.5,1.1,1,1,1.7,0.1
GunPointMaleVersusFemale,1,1.1,1,1,1.9,0.0
GunPointOldVersusYoung,1.7,1.3,1.9,1.3,1.9,0.0
Ham,1.1,1.5,1.4,1.3,1.6,0.1
HandOutlines,1.2,1,1.4,1,1.2,0.0
Haptics,1.9,1,1,1,1.9,0.0
Herring,1,1,1.1,1,1.3,0.0
HouseTwenty,1,1.2,1,1,1.6,0.0
InlineSkate,1.7,1.2,1.7,1,1.5,0.0
InsectEPGRegularTrain,2.5,2.2,2.8,2.8,2.5,0.2
InsectEPGSmallTrain,1,1,1,1,2.4,0.2
InsectWingbeatSound,2.3,1.8,1.1,1.5,2.9,0.1
ItalyPowerDemand,1.6,1.2,1.6,1.6,2.0,0.0
LargeKitchenAppliances,1.4,1.5,1.4,1.8,2.3,0.0
Lightning2,1.2,1.2,1.5,1,1.6,0.0
Lightning7,1,1.1,1.6,1.4,3.4,0.2
Mallat,1,1.1,1,1,4.6,0.5
Meat,1.1,1.2,1.4,1,1.2,0.2
MedicalImages,2.4,1.2,1.4,2.4,2.6,0.2
MelbournePedestrian,4.2,4.8,3.8,4.7,8.9,0.1
MiddlePhalanxOutlineAgeGroup,1.6,1.6,1.7,1.1,2.0,0.1
MiddlePhalanxOutlineCorrect,1.4,1.7,1.1,1.1,1.6,0.1
MiddlePhalanxTW,2.2,2,2.3,2.4,2.8,0.1
MixedShapesRegularTrain,2.2,1.9,2.3,1.2,1.3,0.1
MixedShapesSmallTrain,1.3,2.2,1.5,1,2.2,0.2
MoteStrain,1.8,1.5,1.4,1.2,1.9,0.0
NonInvasiveFetalECGThorax1,2.3,1.4,2.9,1,7.6,0.7
NonInvasiveFetalECGThorax2,2,1.2,2.6,1.6,7.0,1.8
OliveOil,1.2,1,1,1,1.0,0.0
OSULeaf,2.1,1.6,1,1.1,1.4,0.0
PhalangesOutlinesCorrect,1.3,1.5,1.5,1,1.4,0.0
Phoneme,3.7,3.7,3,2,2.8,0.1
PickupGestureWiimoteZ,1.3,1.5,1.2,1,4.7,0.3
PigAirwayPressure,2.5,1.2,1,1.2,3.8,0.7
PigArtPressure,3.6,2.9,2.1,1.2,2.1,0.2
PigCVP,3,1.6,1.6,1.1,3.0,0.4
PLAID,1.9,2.8,2.2,1.3,1.4,0.1
Plane,1.2,1.6,1.3,1,5.2,0.1
PowerCons,1.2,1.1,1.1,1.5,1.7,0.0
ProximalPhalanxOutlineAgeGroup,1,1.7,1.9,1.9,2.4,0.1
ProximalPhalanxOutlineCorrect,1.4,1.6,1.4,1.2,1.6,0.1
ProximalPhalanxTW,1.5,2.2,1.8,1.1,2.7,0.1
RefrigerationDevices,1.3,1.2,2,1.3,1.6,0.2
Rock,1,1,1,1,2.5,0.2
ScreenType,1.4,1.2,1.2,1.3,2.2,0.0
SemgHandGenderCh2,1,1.3,1,1,1.4,0.0
SemgHandMovementCh2,2.2,1.8,1.4,1.1,1.9,0.1
SemgHandSubjectCh2,2,3.6,3.1,1.1,2.0,0.1
ShakeGestureWiimoteZ,1.9,2.5,2.4,1.3,5.3,0.2
ShapeletSim,1.1,1.1,1.2,1.1,1.8,0.1
ShapesAll,1.4,3.2,2.7,1.3,5.9,0.1
SmallKitchenAppliances,1.3,1.4,1.2,1.6,1.6,0.0
SmoothSubspace,1,1.9,1.9,1.8,2.6,0.0
SonyAIBORobotSurface1,1.1,1.1,1.3,1,1.7,0.1
SonyAIBORobotSurface2,1.3,1.2,1.5,1.5,1.9,0.0
StarLightCurves,1.8,1.8,1.6,1.1,2.3,0.1
Strawberry,1.3,1,1,1,1.8,0.0
SwedishLeaf,1.6,2.5,2,1.6,7.2,0.1
Symbols,1.3,1.1,2.2,1.3,4.0,0.2
SyntheticControl,2.4,2.3,2.4,2.1,4.4,0.2
ToeSegmentation1,1,1.4,1.7,1.3,1.7,0.1
ToeSegmentation2,1.2,1.2,1.6,1,1.8,0.0
Trace,1.1,1,1.5,1,3.0,0.1
TwoLeadECG,1.3,1.3,1.4,1.2,1.9,0.0
TwoPatterns,1.6,1.7,1.6,1.6,2.8,0.1
UMD,1,1.8,1,1.3,2.5,0.0
UWaveGestureLibraryAll,2.4,2.1,3.2,1.9,3.2,0.1
UWaveGestureLibraryX,2.3,2.2,1,2.2,3.9,0.0
UWaveGestureLibraryY,3.2,1.8,1,1.8,3.3,0.1
UWaveGestureLibraryZ,2.6,2.9,2.2,1.1,3.0,0.1
Wafer,1.2,nan,1.1,1.6,1.3,0.0
Wine,1.1,1.8,1.1,1,1.7,0.1
WordSynonyms,1.3,1.6,1.4,1.4,1.9,0.0
Worms,1.2,1.5,1.1,1.1,2.0,0.1
WormsTwoClass,1.2,1.8,1.5,1.5,1.0,0.0
Yoga,1.5,1.1,1,1,1.4,0.0
